epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.306,1.94369,3.66774,2.06341,0.00969,0.62135,0.02776,0.00964,2.41583,4.1347,2.21108,0.0700407,0.00332881,0.00332881
2,199.996,1.79217,3.41685,1.92821,0.04972,0.21747,0.05036,0.02162,1.82803,3.6836,1.83674,0.0399963,0.00661777,0.00661777
3,293.728,1.71594,3.28965,1.86838,0.22878,0.15618,0.04978,0.02872,1.51395,3.70396,1.55083,0.00990757,0.00986234,0.00986234
4,387.188,1.66198,3.19826,1.82233,0.06047,0.47782,0.07572,0.03938,1.75392,3.12689,1.70317,0.0098002,0.0098002,0.0098002
5,477.751,1.58442,3.08314,1.75744,0.06237,0.43537,0.07473,0.04747,1.4259,2.72383,1.45351,0.0097336,0.0097336,0.0097336
6,568.808,1.54728,3.02459,1.72619,0.1467,0.3574,0.08613,0.05306,1.47442,2.72475,1.50758,0.009667,0.009667,0.009667
7,660.253,1.5227,2.98347,1.7117,0.12645,0.19899,0.06542,0.0386,1.45121,2.7244,1.48415,0.0096004,0.0096004,0.0096004
8,750.223,1.4912,2.92772,1.68754,0.05904,0.37252,0.05877,0.03546,1.41033,3.11935,1.50107,0.0095338,0.0095338,0.0095338
9,840.153,1.46275,2.88906,1.66452,0.07602,0.37128,0.10309,0.06678,1.30883,2.53625,1.44637,0.0094672,0.0094672,0.0094672
10,929.068,1.43758,2.86469,1.65141,0.16513,0.38306,0.09868,0.06393,1.29556,2.45493,1.3103,0.0094006,0.0094006,0.0094006
11,1017.1,1.43474,2.84334,1.64827,0.16338,0.43878,0.11022,0.06943,1.27773,2.32471,1.41106,0.009334,0.009334,0.009334
12,1106.21,1.40902,2.80994,1.6321,0.05902,0.31461,0.07228,0.04959,1.18119,2.84916,1.31364,0.0092674,0.0092674,0.0092674
13,1196.19,1.38708,2.78296,1.61629,0.04324,0.46127,0.04868,0.02865,1.51971,3.23682,1.60341,0.0092008,0.0092008,0.0092008
14,1286.1,1.36584,2.75548,1.60036,0.05196,0.19724,0.05112,0.034,1.4021,3.11025,1.44345,0.0091342,0.0091342,0.0091342
15,1375.63,1.36604,2.73227,1.59709,0.06548,0.23937,0.06221,0.039,1.44564,2.9118,1.52943,0.0090676,0.0090676,0.0090676
16,1463.12,1.33813,2.70472,1.57214,0.16081,0.3559,0.09598,0.06373,1.26246,2.43962,1.37761,0.009001,0.009001,0.009001
17,1554.21,1.32456,2.67195,1.56561,0.09417,0.49162,0.11874,0.08549,1.09719,2.32234,1.24821,0.0089344,0.0089344,0.0089344
18,1644.56,1.32339,2.67044,1.55851,0.17395,0.36113,0.1062,0.07427,1.19587,2.44999,1.26344,0.0088678,0.0088678,0.0088678
19,1733.58,1.30925,2.66206,1.55144,0.07068,0.24717,0.07175,0.04799,1.36289,2.9879,1.36362,0.0088012,0.0088012,0.0088012
20,1823.68,1.29066,2.63171,1.5348,0.08898,0.45152,0.1182,0.07773,1.31341,2.36911,1.32983,0.0087346,0.0087346,0.0087346
